correlation_score,r2_score,p_value
-0.10963573777389352,-0.0023189783,0.061785740976953205
0.0852467877531634,0.007265866,0.1468957245492606
0.060598134839937194,0.0023067594,0.3029045846155663
0.031407576840343336,-0.0030767918,0.593619140785275
-0.014995809305888966,0.0,0.798937318976998
-0.03298077071813066,-0.0009623766,0.5752470242175906
0.03762830850949536,-0.001534462,0.5225922761578174
0.06992464848795055,0.0028559566,0.23438173295084913
0.2145143352977265,0.03835374,0.00022727237643639593
0.12231630478914053,0.0,0.03703156570643791
0.020695231032791764,-0.0036553144,0.7251739866958924
0.10717162998614332,0.011467993,0.06790998710910737
0.10543642772044806,0.010862529,0.07251388098242109
0.04877169543236264,0.0012091398,0.4071636513046999
-0.0011037935221918198,-0.004982829,0.9850419208130561
0.021054509120545614,-1.1920929e-07,0.7206001527133825
0.07792617733043301,0.0016950965,0.18496687575075832
0.10412626358835585,0.002901435,0.07615589339079468
-0.07757072444834563,0.0,0.18698492479827952
-0.08508501730430852,-2.3841858e-07,0.1476670449979275
0.008680155108508954,4.4465065e-05,0.8827864548635687
0.010807594073527743,0.0,0.8543464097687624
0.03951802779532421,0.0010434985,0.5019097434239379
0.04894286066410806,0.0,0.4055174307203906
0.07098193676979354,0.004835248,0.2273656138504939
0.04394563108363286,0.0011063814,0.45518996375015286
0.09435109755417484,0.007838547,0.1082372918798671
0.11910969365792379,0.014169097,0.04232125467947972
0.1509385596769511,0.019452155,0.009922279135795097
0.07527818020430352,0.005601108,0.2003904178594161
0.04896036349529019,0.0013910532,0.40534931650857053
0.13701244689845607,0.013774037,0.019375058700461
0.16880401626847424,0.005297303,0.003877745988766617
0.18875138193256402,0.00070536137,0.0012158857215131785
0.01031211905943631,0.0,0.8609546215652779
0.023578942116175106,0.00046217442,0.6887506425392094
-0.002855962586826716,-1.1920929e-07,0.961310208022325
-0.04629519753498526,-0.0011637211,0.43142250049525876
-0.036426470191749674,-0.0010659695,0.5359690683611427
-0.03172781312462995,-0.0008376837,0.5898577526750448
0.006809845535510807,-5.042553e-05,0.9079151814669506
0.0045537486812698745,-0.00012946129,0.938347350430222
-0.016929179470023075,-0.00065398216,0.7736775865823875
0.06270241504304232,0.0017739534,0.286392584690187
0.04396649756105205,0.00012683868,0.4549757078270664
0.08307196513340898,0.0067194104,0.15752449472323296
-0.021545914641143384,0.0,0.7143603519215297
0.05968949158442762,0.0034483671,0.3102254902122773
0.07315051190569516,0.0049628615,0.2134440397404731
0.06075770554075513,0.0,0.30163082352081655
-0.010697880132037131,-0.00072705746,0.8558088191635858
0.06469262976719127,0.0041103363,0.27134241088777455
0.09269342675748868,0.002473712,0.11460595273040391
-0.05398921236398663,-1.1920929e-07,0.35877988085394974
-0.013208427105990572,-0.00060009956,0.8224780543925485
0.09271320692275668,0.0,0.11452826622233088
0.01784835348140674,1.1920929e-07,0.761749792203994
0.05551662672939457,-1.1920929e-07,0.3453257382197199
0.023828501279872353,0.0,0.6856306002328354
-0.06377186137031159,-0.0014772415,0.27823700544657426
0.06282880408685987,0.0035259724,0.2854204601602174
0.024274732021368983,-0.0010546446,0.6800650274178872
-0.034068631359952445,-0.007524729,0.5627011831748718
0.08199641974841594,0.0019458532,0.162990493913883
-0.04694901125337071,-0.0109244585,0.4249383024072172
-0.03701734936989326,-0.0009778738,0.5293710424355473
0.010086194687058974,0.0,0.8639710495031918
0.0028229427961647454,-0.00016343594,0.9617571849846027
0.11576056757245003,1.1920929e-07,0.04851090962163423
0.019976022787998066,0.00033777952,0.7343591749474974
-0.042375160055883175,-0.00012767315,0.4714767607340613
0.05742353332973425,0.0031038523,0.32898434370992136
0.03933976827969197,0.0011588335,0.5038421723962988
0.03326305560948984,0.0008174777,0.5719789426665538
0.055771696144316686,0.0026532412,0.34311055995750017
-0.11677374623127745,-0.003298521,0.04656327730576015
-0.018855774858126458,-4.9948692e-05,0.7487413148461739
0.03766820539244187,0.00076174736,0.522151156927451
-0.007978154626218963,-0.00054836273,0.8922058826687336
-0.0063371889326298185,-0.00021290779,0.9142811553050906
0.06381662848981884,0.0,0.2778990762094761
0.022222377403763482,2.3841858e-07,0.7058017790888489
