,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$X_1\beta \approx X_2$,$X_2\beta \approx X_1$,$X_1'\beta \approx Y$,$X_2'\beta \approx Y$
21,0.73622906,0.53255266,0.9862231612205505,0.9892792701721191,0.32246643,0.16894114
22,0.7368903,0.5397556,0.9904289245605469,0.9868853092193604,0.34810686,0.18956059
23,0.7951436,0.6206417,0.9819678664207458,0.9852211475372314,0.3602519,0.16611111
24,0.70471364,0.6054987,0.9797957539558411,0.9792470932006836,0.11569822,0.17296374
25,0.71601677,0.41833442,0.98745197057724,0.9858283996582031,0.20787996,0.06506574
26,0.7832307,0.63976717,0.9878362417221069,0.9878000617027283,0.33948982,0.07866275
27,0.7468143,0.51488924,0.9877126812934875,0.9868128299713135,0.39373642,0.12421435
28,0.7260927,0.54755807,0.9816734790802002,0.9839255809783936,0.1695503,0.21149457
29,0.67562723,0.5422432,0.9865759611129761,0.9874223470687866,0.3173303,0.09598428
30,0.7069284,0.55211514,0.985546350479126,0.9829277396202087,0.16244411,0.2290293
31,0.70414376,0.60198295,0.9891261458396912,0.9857648015022278,0.3040473,0.095347404
32,0.7600441,0.5625145,0.9897581338882446,0.993088960647583,0.157269,-0.06643462
33,0.8380689,0.58039784,0.9845731258392334,0.9862549901008606,0.36785078,0.05093664
34,0.7529011,0.57485783,0.9876540899276733,0.9875208139419556,0.27181703,0.14471757
35,0.6941144,0.50396454,0.9885320067405701,0.9871716499328613,0.19915682,0.088956
36,0.6961374,0.51772213,0.9859558343887329,0.9852729439735413,0.4442519,0.08352888
37,0.75504917,0.6141132,0.9786365032196045,0.9812980890274048,0.16858649,0.0980407
38,0.7141183,0.6093724,0.9852392673492432,0.9867633581161499,0.31855077,0.23241025
39,0.6756433,0.59912014,0.9821867346763611,0.9838683605194092,0.24161148,0.06164342
40,0.74694705,0.4639383,0.9902254343032837,0.989722728729248,0.23098016,0.017472625
41,0.7951985,0.68890357,0.981663703918457,0.98259037733078,0.3372892,0.09882623
42,0.80012834,0.6524545,0.9812486171722412,0.9839875102043152,0.4061604,0.07883263
43,0.7801581,0.592108,0.9907519221305847,0.9880489706993103,0.29966933,0.13261783
44,0.71755207,0.5803782,0.9836697578430176,0.984948992729187,0.33809787,0.14361191
45,0.7162682,0.61539626,0.9765082001686096,0.9815371036529541,0.30469644,0.14316398
46,0.74753404,0.44295204,0.9894804358482361,0.9895044565200806,0.32536697,-0.016085267
47,0.6198547,0.6169106,0.9893998503684998,0.9856751561164856,0.17614675,0.18412519
48,0.70297277,0.62826633,0.9900684952735901,0.9893497228622437,0.12399125,0.030519903
49,0.7844851,0.58328193,0.990261435508728,0.9882280826568604,0.41529018,0.13235247
50,0.7512802,0.5731744,0.9902991056442261,0.9886435270309448,0.16910583,0.17894751
51,0.6654835,0.5533931,0.984577476978302,0.9852756261825562,0.26847064,0.038378596
52,0.7592677,0.56098557,0.9915409684181213,0.9882552623748779,0.29839474,0.06964123
53,0.7777698,0.5937191,0.9818607568740845,0.9866653084754944,0.23892123,0.10781348
54,0.79346776,0.55186826,0.9862703680992126,0.9863919615745544,0.40157712,0.12396902
55,0.7307054,0.60176134,0.9912945628166199,0.9885578155517578,0.4189459,0.16571635
56,0.6979022,0.4829489,0.9862580299377441,0.9861620664596558,0.20880806,0.22852856
57,0.7461046,0.555403,0.9841111898422241,0.9831793308258057,0.09193188,0.19534463
58,0.7011355,0.60096407,0.9880012273788452,0.9852883815765381,0.22190958,0.19405526
59,0.7858429,0.62652254,0.9873634576797485,0.9803414940834045,0.2471379,-0.055395365
60,0.75793636,0.53347945,0.9903463125228882,0.9893995523452759,0.15024072,0.046928883
61,0.72261745,0.54289055,0.9801416397094727,0.982158362865448,0.299599,0.025178611
62,0.7587838,0.5543414,0.9842346906661987,0.986321747303009,0.3814838,0.09461206
63,0.6841551,0.5969492,0.9846867918968201,0.9861722588539124,0.16212916,0.13944942
64,0.7714737,0.6309712,0.9838362336158752,0.988298773765564,0.30968744,0.19989157
65,0.63490033,0.5770709,0.9861938953399658,0.9867523312568665,0.17120773,0.05457157
66,0.7443571,0.6649502,0.9876300096511841,0.9861249923706055,0.20773542,0.22643864
67,0.73142856,0.4183514,0.9814224243164062,0.9797052145004272,0.36815155,0.07690996
68,0.7101102,0.60122037,0.9871839880943298,0.9877719283103943,0.3414119,0.033174872
69,0.72234726,0.5188792,0.9860203266143799,0.9883251786231995,0.3465553,0.123600006
70,0.74987066,0.606413,0.9862737655639648,0.9841903448104858,0.325364,0.12533963
71,0.62867945,0.63119847,0.9869650602340698,0.9883840084075928,0.1532405,0.21809793
72,0.74256253,0.57018197,0.9833074808120728,0.9837163686752319,0.24890494,0.10139704
73,0.77079576,0.6394383,0.9824323058128357,0.9857519865036011,0.39248335,0.17466635
74,0.7634808,0.56106794,0.9879320859909058,0.9870520234107971,0.34546942,0.1951819
75,0.780865,0.53698754,0.9810765981674194,0.9840913414955139,0.49022204,0.1606766
76,0.74948525,0.49464446,0.984774649143219,0.9881231784820557,0.3923871,0.12753063
77,0.77419686,0.5375403,0.9777390956878662,0.9818720817565918,0.3640753,0.16543502
78,0.73906946,0.70193475,0.9862850904464722,0.9815664291381836,0.26817954,0.2304663
