,$X_1$,$X_2$,$X_1'_{ridge}$,$X_2'_{ridge}$,$X_1'_{OLS}$,$X_2'_{OLS}$
82,0.7452742,0.48522818,0.4523399,0.16249591,0.4548946,0.12222153
83,0.7765514,0.36714703,0.45048612,0.09654957,0.43498898,0.07594377
84,0.72670317,0.40174097,0.47551352,0.022310793,0.4662348,0.0373165
85,0.7701507,0.49907464,0.39837676,0.08475721,0.37881297,0.07784188
86,0.73111105,0.40835422,0.491477,0.13501531,0.47322136,0.14132112
87,0.71459675,0.4420489,0.3866709,0.06848544,0.33501178,0.061692774
88,0.6672547,0.36486685,0.26054645,0.14321929,0.23376024,0.146276
89,0.64260256,0.36921716,0.31569463,0.23422116,0.2891292,0.22599745
90,0.7119566,0.39079374,0.4437648,0.10492718,0.4195693,0.10219699
91,0.73095566,0.41656536,0.45448202,0.14865696,0.43150818,0.16897213
92,0.75184864,0.4935038,0.41590685,0.14367968,0.38904995,0.15529186
93,0.795716,0.51512855,0.41317773,0.180058,0.4111938,0.1639741
94,0.6969722,0.34224266,0.37122357,-0.010425687,0.3701328,-0.02780366
95,0.77249587,0.28631568,0.49082953,-0.029271483,0.4587794,-0.03673148
96,0.7303598,0.27977782,0.47661042,-0.077605486,0.4568081,-0.08754969
97,0.6791606,0.43658108,0.21592599,0.18629265,0.19010228,0.18698579
98,0.63862014,0.38448757,0.43271607,0.15747952,0.42037654,0.15662575
99,0.7287947,0.5275168,0.41649532,0.16482306,0.40686858,0.17234063
100,0.73384583,0.42899072,0.5021421,0.14309847,0.48845506,0.14865494
101,0.8034403,0.53665423,0.4723053,0.20873165,0.45926058,0.21644723
102,0.7456926,0.33284926,0.5299673,0.0593071,0.52478004,0.053031623
103,0.7589739,0.46084458,0.48341578,0.17227185,0.4958319,0.16467166
104,0.7660153,0.41846925,0.44843173,0.089820206,0.40962684,0.0948199
105,0.7681013,0.44251794,0.51107585,0.08932215,0.45599735,0.09837073
106,0.71178496,0.46582448,0.44015115,0.21000302,0.42344743,0.19144577
107,0.8086772,0.31692833,0.50258803,0.065677345,0.47645062,0.03834623
108,0.6762916,0.4431011,0.32003295,0.089761734,0.3130743,0.07505596
109,0.78394777,0.47865552,0.4026233,0.25551808,0.3620699,0.2515089
110,0.73188615,0.5270512,0.25010347,0.09533447,0.26376462,0.09054899
111,0.73042166,0.48451346,0.41792798,0.16552901,0.41753095,0.13130963
112,0.75908434,0.5629295,0.36770087,0.19933802,0.3749618,0.20074785
113,0.7576601,0.4447828,0.5092076,0.18493807,0.5138701,0.18708831
114,0.7259716,0.47947174,0.37173504,0.19693023,0.338206,0.2299493
115,0.8124564,0.4724738,0.59723485,0.12566781,0.5773493,0.10833043
116,0.7537112,0.4415487,0.41964507,0.14173335,0.39984626,0.15199012
117,0.7091993,0.3049693,0.38755655,0.09605783,0.37954122,0.10862416
118,0.7350706,0.36526376,0.42642897,0.23121583,0.39489967,0.22623104
119,0.7535243,0.42304564,0.47331774,0.14224684,0.4726444,0.11579919
120,0.71330434,0.4549204,0.31031716,0.12411642,0.30153298,0.10588956
121,0.80272204,0.43409246,0.50587976,0.14831305,0.49595457,0.1509527
122,0.7628397,0.381213,0.4978857,0.052971423,0.49782526,0.054991066
123,0.7259496,0.55801296,0.36580676,0.2662769,0.34497082,0.26137203
124,0.703261,0.48065382,0.4951204,0.2392587,0.47897226,0.2341497
125,0.7027174,0.3838598,0.37861985,0.1561383,0.3874377,0.18931043
126,0.67288804,0.37371373,0.5155127,0.15216917,0.46191442,0.1474846
127,0.79640627,0.46364814,0.4110391,0.060043335,0.41686887,0.055350184
128,0.7304646,0.3180375,0.45062876,0.09323847,0.46651894,0.08524954
129,0.76236737,0.36468208,0.57353246,0.018326223,0.52589643,0.018699646
130,0.7313273,0.54644835,0.38209474,0.26261848,0.36121744,0.24043864
131,0.75123376,0.42229426,0.4676205,0.121641815,0.46237558,0.1225577
132,0.74868864,0.46936756,0.443833,0.30551714,0.43537557,0.3142839
133,0.70825374,0.39935905,0.43330318,0.0706355,0.40477824,0.043977678
134,0.7878874,0.4361139,0.49550253,0.06484032,0.484842,0.04109633
135,0.5960162,0.42323238,0.29536885,0.016043842,0.27033973,0.020003498
