,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
8105,0.794981,0.5068146,0.24358934,-0.044577062,0.55139166,0.2881664
8106,0.8668703,0.6641255,0.5120337,0.30928886,0.35483664,0.20274484
8107,0.8841684,0.75070304,0.46103817,0.32757282,0.4231302,0.13346535
8108,0.8953947,0.74784756,0.51268876,0.36514163,0.38270593,0.14754713
8109,0.9016944,0.77515686,0.44325435,0.3167168,0.45844007,0.12653756
8110,0.8844359,0.8071039,0.2702213,0.19288921,0.61421466,0.07733208
8111,0.89766276,0.7526472,0.48304844,0.33803284,0.41461438,0.1450156
8112,0.90008503,0.65872186,0.5372028,0.2958396,0.36288226,0.24136317
8113,0.8596394,0.6726911,0.4232,0.23625171,0.4364394,0.1869483
8114,0.9037155,0.7736036,0.51298594,0.38287413,0.3907295,0.13011181
8115,0.83426327,0.65376383,0.2862897,0.10579026,0.5479736,0.18049943
8116,0.9034178,0.80412275,0.43012434,0.33082926,0.47329348,0.09929508
8117,0.8624073,0.66374135,0.3523851,0.15371907,0.5100223,0.19866604
8118,0.86522996,0.6962825,0.45236546,0.28341806,0.41286445,0.1689474
8119,0.8847249,0.7319524,0.37325484,0.22048229,0.51147014,0.15277255
8120,0.90721494,0.7440587,0.4409864,0.27783018,0.46622854,0.16315621
8121,0.8958947,0.7688801,0.49211514,0.36510056,0.40377957,0.12701458
8122,0.9027374,0.7945235,0.5139411,0.40572715,0.38879633,0.10821396
8123,0.9097196,0.77962625,0.39812475,0.26803148,0.5115948,0.13009328
8124,0.8684597,0.69329333,0.35567492,0.18050861,0.5127847,0.17516631
8125,0.891838,0.72029626,0.54585457,0.37431282,0.34598345,0.17154175
8126,0.907856,0.77502596,0.45913017,0.32630014,0.44872582,0.13283002
8127,0.88072467,0.7139355,0.47670406,0.30991483,0.40402067,0.16678923
