correlation_score,r2_score,p_value
-0.007116480076625101,1.1920929e-07,0.9037883937388719
-0.024044747410159426,0.0,0.6829313478569612
0.1087588356086256,0.0070183277,0.06391087641627179
-0.02681706215076281,-0.0020810366,0.64869360439831
-0.0035226938967313653,1.1920929e-07,0.9522876866169029
-0.03011809410853125,-0.00074887276,0.6088742999119869
-0.008599114386902541,-0.001067996,0.8838730419143896
0.051546301519522206,0.0021796823,0.38096914805313886
-0.030967751012479564,-0.0025240183,0.5988029111775843
0.08550299950294152,0.0054653287,0.14568038555745724
0.015826480173785278,-0.009848595,0.7880571493358293
-0.01854774526114673,-1.3232231e-05,0.7527114406077559
0.08461962289768467,-1.1920929e-07,0.14990321440506665
0.043489055426854016,0.0009329915,0.45989218241857655
0.03834547855924667,0.0012503266,0.514692057882814
-0.025976856105802894,-0.0057239532,0.6589964123262279
0.04327505265851857,0.0,0.46210544682240406
-0.025011326741381144,-0.002398014,0.6709158576689416
0.02586758372929532,-0.00019049644,0.6603411329730122
-0.048830257853511465,-0.0032436848,0.40659996819545474
-0.04345424799735608,-0.0012178421,0.46025176618233177
-0.091321491768723,1.1920929e-07,0.12009557618501951
0.010616606069658314,0.0,0.8568924630323946
0.08892990773548963,0.0060204864,0.13015234658310404
-0.04276007130225645,0.0,0.46745566094049007
-0.006884933520259312,-0.0009841919,0.9069043899073745
-0.11656363109221601,-0.008653522,0.04696170923026373
0.08111524757190929,0.004962623,0.16757373079136834
0.025405719879736898,0.00050503016,0.6660369103546973
-0.005671561948254745,-0.0029016733,0.9232553411613174
-0.06752652184542533,0.0,0.25085738052510237
-0.012028844560655444,-0.0005631447,0.8381027128343521
-0.008144063919021035,0.0,0.8899782990843363
-0.08003128196498423,-0.0013821125,0.1733430195839826
0.044473255923852345,0.0,0.44978971994572836
-0.004418315821612676,-0.0018615723,0.9401774851258105
0.0886500175461264,0.0062257648,0.13137059288657768
0.011036611661012368,-0.0010817051,0.8512953762631641
-0.14581529533991608,-0.0042357445,0.012772895281752766
-0.014444872725555453,-0.003322959,0.8061751371148344
-0.046364962362017655,-0.00038039684,0.43072790025334995
-0.039147960441301914,0.0,0.5059258272264439
-0.08572934910830518,-0.0049198866,0.1446130820392269
-0.01961908126782995,1.1920929e-07,0.7389319370111171
-0.11656326154571417,0.0,0.04696241249043038
-0.0256447840895383,-0.002152443,0.6630863147876551
0.016288860773436664,-0.0027269125,0.782018492661084
0.04156574380823392,2.3961067e-05,0.479994152946722
0.04223947292194179,0.0016815662,0.47289877052000084
-0.05916809479740754,1.1920929e-07,0.31447840810339306
0.020338375616677107,0.00038903952,0.7297266551280593
0.0926223153739328,0.0055797696,0.1148855831309097
0.02863329992983618,0.0007945299,0.6266517191874257
-0.0192905094709279,-0.004130721,0.7431493943595766
0.027302060242390888,-1.1920929e-07,0.6427765878804984
-0.06732807041609139,-0.0050479174,0.25225594231723064
0.045333491764532365,0.0020216107,0.4410631579332531
0.06777521290234483,0.0032262206,0.24911237449022347
0.04116041253999953,0.0016921163,0.4842905651825363
0.03053864691391463,0.00092703104,0.603879903006264
0.03910378063384792,0.0,0.5064064015090763
-0.006376340204149127,1.1920929e-07,0.913753633029744
0.04646622626740164,-1.1920929e-07,0.4297208347267252
0.005499207487503416,-0.0017522573,0.925580707784331
-0.033849725526390165,-0.0069738626,0.5652151440133653
-0.06303587261879476,0.0,0.2838325887759546
0.026598504985967213,0.00030893087,0.6513672766924302
-0.017681824456406727,-0.0021454096,0.7639066996601944
-0.03885969548511475,-0.002579093,0.5090657825494915
0.006850703129318762,-0.00044047832,0.9073651613744266
-0.06290543678655434,-0.005009532,0.2848321197815684
-0.015527015698640595,-0.0006881952,0.79197493066449
0.055073924733633026,0.0,0.3491919112403905
0.08325626897999225,0.0,0.1566018813851255
-0.025914209674303565,0.0,0.6597672139959956
-0.013705384510743667,-1.1920929e-07,0.8159159282840035
0.032885845424489746,0.00034737587,0.5763479669289755
-0.0682357809496458,-0.007885218,0.2459030115342979
-0.06759158967122644,0.0,0.25039999737053403
-0.10052423704524921,-0.0016666651,0.08693853544291726
